bucket,cache_key,topic_id,skill,location,hit_count,question,stored_answer,builder_answer,builder_id
UNVERIFIABLE,y5m-place-value|curriculum|secure|lesson,y5m-place-value,,workedExample,0,"What is $10,000$ more than $45,678$?","$55,678$",,
UNVERIFIABLE,y5m-place-value|curriculum|secure|lesson,y5m-place-value,,tryThis,0,"What is $100,000$ less than $500,000$?","$400,000$",,
UNVERIFIABLE,y5m-fractions|curriculum|secure|guided,y5m-fractions,,workedExample,0,Convert the improper fraction $rac{9}{4}$ to a mixed number.,The mixed number is $2rac{1}{4}$.,,
UNVERIFIABLE,y5m-fractions|curriculum|secure|guided,y5m-fractions,,tryThis,0,Convert the improper fraction $rac{7}{3}$ to a mixed number.,The mixed number is $2rac{1}{3}$.,,
UNVERIFIABLE,y5m-mult-div-b|curriculum|secure|guided,y5m-mult-div-b,,workedExample,0,What is $3456 	imes 7$?,The final answer is $24192$.,,
UNVERIFIABLE,y5m-mult-div-b|curriculum|secure|guided,y5m-mult-div-b,,tryThis,0,What is $256 	imes 4$?,$1024$,,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,workedExample,13,"$2,347 \times 6$",2082,,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,tryThis,13,"$1,526 \times 4$","$6,104$",,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,quickCheck,13,"In $1,786 \times 4$, what is the first calculation in the ones column?",$6 \times 4 = 24$. Write $4$ and carry $2$.,,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,guidedPractice[0],13,$368 \times 5$,"$1,840$",,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,guidedPractice[1],13,"$1,204 \times 3$","$3,612$",,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,independentPractice[0],13,$427 \times 6$,"$2,562$",,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,independentPractice[1],13,"$2,315 \times 4$","$9,260$",,
UNVERIFIABLE,v19|y5m-mult-div-b|curriculum|secure|lesson|multiply up to 4-digit by 1-digit,y5m-mult-div-b,Multiply up to 4-digit by 1-digit,independentPractice[2],13,"$3,708 \times 5$","$18,540$",,
UNVERIFIABLE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,workedExample,0,Find the area of the compound shape.,$44\text{ cm}^2$,,
DISAGREE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,tryThis,0,A compound shape is split into rectangles measuring $7\text{ cm}$ by $2\text{ cm}$ and $3\text{ cm}$ by $6\text{ cm}$. Find its area.,"$7 \times 2 = 14\text{ cm}^2$, $3 \times 6 = 18\text{ cm}^2$, so $14 + 18 = 32\text{ cm}^2$.",14,rect_perimeter_area
UNVERIFIABLE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,quickCheck,0,Two rectangles make one compound shape. Their areas are $18\text{ cm}^2$ and $25\text{ cm}^2$. What is the compound shape's area?,$18 + 25 = 43\text{ cm}^2$.,,
DISAGREE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,guidedPractice[0],0,A compound shape has two rectangles. One is $6\text{ cm}$ by $4\text{ cm}$. The other is $3\text{ cm}$ by $5\text{ cm}$. Find the total area.,"$6 \times 4 = 24\text{ cm}^2$, $3 \times 5 = 15\text{ cm}^2$, so $24 + 15 = 39\text{ cm}^2$.",24,rect_perimeter_area
DISAGREE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,guidedPractice[1],0,A compound shape is split into rectangles measuring $9\text{ m}$ by $2\text{ m}$ and $4\text{ m}$ by $3\text{ m}$. Find the total area.,"$9 \times 2 = 18\text{ m}^2$, $4 \times 3 = 12\text{ m}^2$, so $18 + 12 = 30\text{ m}^2$.",18,rect_perimeter_area
DISAGREE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,independentPractice[0],0,A compound shape is split into rectangles measuring $5\text{ cm}$ by $4\text{ cm}$ and $2\text{ cm}$ by $7\text{ cm}$. Find the area.,"$5 \times 4 = 20\text{ cm}^2$, $2 \times 7 = 14\text{ cm}^2$, so $34\text{ cm}^2$.",20,rect_perimeter_area
DISAGREE,v19|y5m-perimeter-area|curriculum|secure|guided|area of compound shapes,y5m-perimeter-area,Area of compound shapes,independentPractice[1],0,A compound shape is split into rectangles measuring $8\text{ m}$ by $3\text{ m}$ and $5\text{ m}$ by $4\text{ m}$. Find the area.,"$8 \times 3 = 24\text{ m}^2$, $5 \times 4 = 20\text{ m}^2$, so $44\text{ m}^2$.",24,rect_perimeter_area
UNVERIFIABLE,y5m-mult-div-b|curriculum|greater_depth|guided,y5m-mult-div-b,,workedExample,0,Multiply $2356$ by $4$.,The final answer is $9424$.,,
UNVERIFIABLE,y5m-mult-div-b|curriculum|greater_depth|guided,y5m-mult-div-b,,tryThis,0,Multiply $1234$ by $3$.,The answer is $3702$.,,
AGREE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,workedExample,0,Find an equivalent fraction to $\frac{1}{2}$ with a denominator of $4$.,1/2 = 0.5 = 50%,2/4,fraction_equivalent
DISAGREE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,tryThis,0,Find an equivalent fraction to $\frac{1}{3}$ with a denominator of $6$.,1/3 = 0.3333 = 33.33%,2/6,fraction_equivalent
UNVERIFIABLE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,quickCheck,0,Is $\frac{3}{6}$ equivalent to $\frac{1}{2}$?,3/6 = 0.5 = 50%,,
UNVERIFIABLE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,guidedPractice[0],0,Complete: $\frac{1}{4} = \frac{\Box}{8}$,$\frac{1}{4} = \frac{2}{8}$,,
UNVERIFIABLE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,guidedPractice[1],0,Complete: $\frac{2}{3} = \frac{\Box}{6}$,$\frac{2}{3} = \frac{4}{6}$,,
UNVERIFIABLE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,independentPractice[0],0,Complete: $\frac{1}{5} = \frac{\Box}{10}$,$\frac{1}{5} = \frac{2}{10}$,,
UNVERIFIABLE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,independentPractice[1],0,Complete: $\frac{3}{4} = \frac{\Box}{8}$,$\frac{3}{4} = \frac{6}{8}$,,
UNVERIFIABLE,v19|y5m-fractions|curriculum|developing|lesson|equivalent fractions,y5m-fractions,Equivalent fractions,independentPractice[2],0,Complete: $\frac{2}{5} = \frac{\Box}{10}$,$\frac{2}{5} = \frac{4}{10}$,,
UNVERIFIABLE,sats-arithmetic|sats|secure|guided,sats-arithmetic,,workedExample,0,What is $12 	imes 15$ using long multiplication?,The final answer is $180$.,,
UNVERIFIABLE,sats-arithmetic|sats|secure|guided,sats-arithmetic,,tryThis,0,What is $18 	imes 24$ using long multiplication?,$432$,,
UNVERIFIABLE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,workedExample,0,Measure angle $ABC$.,$\angle ABC = 65°$,,
DISAGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,tryThis,0,"A protractor is centred on a vertex. One arm starts at $0°$, and the other arm reaches $120°$. What is the angle?",$120°$,60°,angle_diagram
UNVERIFIABLE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,quickCheck,0,Why must the protractor centre sit on the vertex?,The measurement must begin at the point where both angle arms meet.,,
DISAGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,guidedPractice[0],0,One arm is lined up with $0°$. The other arm crosses the correct scale at $42°$. Measure the angle.,$42°$,138°,angle_diagram
DISAGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,guidedPractice[1],0,One arm is lined up with $0°$ on the right. The other arm crosses the scale at $105°$. Measure the angle.,$105°$,75°,angle_diagram
AGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,guidedPractice[2],0,A protractor shows an angle opening from $0°$ to $78°$. Measure the angle.,$78°$,78,place_value_chart
DISAGREE,v19|y5m-shape|curriculum|secure|guided|measure angles in degrees,y5m-shape,Measure angles in degrees,independentPractice[0],0,"One arm begins at $0°$, and the second arm reaches $35°$. Measure the angle.",$35°$,145°,angle_diagram
