defect_id,severity,category,key_stage,year_group,exam_board,tier,topic,lesson_id,route,browser,viewport,steps_to_reproduce,expected_result,actual_result,evidence,likely_root_cause,affected_files,recommended_fix,regression_test,estimated_effort,status
DEF-001,P2,access-control,All,All,N/A,N/A,Admin content ingestion / exam papers,N/A,/api/content-upload and /api/exam-papers,N/A (server-side logic bug — not browser-dependent),N/A,"Read app/api/content-upload/route.ts:26-31 and app/api/exam-papers/route.ts:48-56. Both fetch profiles.subscription_status and reject the request unless it equals the literal string 'admin'. Read supabase-schema.sql:8: the subscription_status column has CHECK (subscription_status in ('free','pro','cancelled')) — 'admin' is not a legal value and no later migration widens it. Also confirmed: no UI code anywhere in app/ or components/ calls POST /api/content-upload or POST /api/exam-papers (grepped both route paths repo-wide) — the content-upload route's own docstring says it's meant to be followed by manually running scripts/ingest-content-pdf.ts, i.e. this looks like an internal/manual admin utility, not a pupil- or teacher-facing feature currently wired into any page. Severity downgraded from an initial P1 read after confirming this: since nothing calls it, no user is currently blocked by it in the live product — but it is unusable by anyone, including a legitimate operator, as written. Additionally: grepped every profiles.role write in the codebase (scripts/create-students.ts:169 sets role only to 'student'; no script, route, or migration ever sets role='admin') — so even fixing the column check does not by itself give anyone a way to become admin today.",An operator with the intended admin capability can upload GCSE content PDFs and manage exam papers via these two endpoints.,"Every request to these two endpoints is rejected with 403 Forbidden unconditionally, for every possible profile row, because subscription_status can never equal 'admin'. Separately, there is currently no code path that would ever set role='admin' on a profile, so fixing only the column check is not sufficient to make the endpoints usable end-to-end.","supabase-schema.sql:8 (CHECK constraint); app/api/content-upload/route.ts:8-12,26-31 (docstring pointing at the manual ingestion script); app/api/exam-papers/route.ts:48-56 (comment literally states the flawed premise: 'Check if user is admin (subscription_status = admin or has service role)'); working counter-example at app/api/classes/route.ts:17 using the correct `role` column; scripts/create-students.ts:169 (only role-writing code found, sets 'student').","Two routes were written against the wrong column (subscription_status, a billing field) instead of the dedicated `role` column used correctly elsewhere; separately, no admin-provisioning path was ever built, so the 'admin' role value is currently unreachable through the application regardless.",app/api/content-upload/route.ts; app/api/exam-papers/route.ts; (new) an admin-provisioning script or Supabase-dashboard-documented process.,"Change the check in both routes to `profile?.role !== 'admin'`, matching app/api/classes/route.ts:17; and add a documented, audited way to grant role='admin' (e.g. a one-off SQL runbook or a `scripts/grant-admin.ts` requiring an existing admin/service-role key to run), since none currently exists in code.","Add an integration test asserting a profile with role='admin' can POST to /api/content-upload and /api/exam-papers successfully, and that no other role can.",Small (2-line fix per route) + Small (admin-grant path),FIXED — both routes now check profiles.role==='admin'; added scripts/grant-admin.ts (no provisioning path existed before) and __tests__/lib/admin-routes.test.ts.
DEF-002,P1,architecture-cursor-narration,All,All,N/A,N/A,Whiteboard narration/cursor sync (all lessons),N/A,All lesson-playback routes using WhiteboardTutor,N/A (confirmed by source inspection; visual confirmation blocked — no browser tooling in this session),N/A,"Read components/whiteboard/tutor/SpeechHighlighter.tsx:70-80: wordIndexAtProgress() divides total audio clip duration evenly across word count on an 80ms poll (lib/hooks/useWhiteboardSpeech.ts:41-58). The TTS provider is OpenAI tts-1 via a plain audio.speech.create REST call (app/api/tts/route.ts:52-58), which returns only an MP3 byte stream with no word/phoneme timestamps.","Cursor and word-highlight timing should track the words actually being spoken in the audio, within a small, measurable tolerance (the audit brief asks for release thresholds on this).","REFINED after running the live app (previously code-only): total narration-clip duration used for word highlighting/cursor timing IS taken from the real audio file when cloud TTS succeeds (lib/hooks/useWhiteboardSpeech.ts:208-213, `audio.duration * 1000`), not a guess -- this is better than the prior static read suggested. However, the position of the currently-highlighted word WITHIN that real duration is still computed by even linear interpolation across word count (components/whiteboard/tutor/SpeechHighlighter.tsx wordIndexAtProgress, called every 80ms from startWordProgress), not from true per-word timestamps -- OpenAI tts-1 returns none. Net effect: sync is correct at the start and end of each spoken phrase (duration matches reality) but can drift mid-phrase, worst on utterances with uneven word lengths, numbers, or pauses. Separately, the cursor's TARGET ELEMENT is resolved live via getBoundingClientRect() on [data-teacher-target] attributes (components/WhiteboardTutor.tsx:204-224), which matches the audit brief's own preferred architecture -- this is a strength, not a risk, and should not be read as part of this defect.","components/whiteboard/tutor/SpeechHighlighter.tsx:70-80; lib/hooks/useWhiteboardSpeech.ts:41-58,104-165; app/api/tts/route.ts:52-58.","No provider-returned word/character timestamps exist to align to (confirmed: OpenAI tts-1 REST response is audio bytes only); the system approximates by assuming every word occupies an equal share of the clip's real total duration, which is false for natural speech.",components/whiteboard/tutor/SpeechHighlighter.tsx; lib/hooks/useWhiteboardSpeech.ts; app/api/tts/route.ts,"Switch to a TTS provider/mode that returns word or character timestamps (e.g. OpenAI's streaming/verbose transcription-style timing if available, ElevenLabs' timestamp API, or a forced-alignment pass over the returned audio with the source text), and drive activeWord from those timestamps instead of a linear estimate. Note: fixing this does not require replacing the duration source (already real) -- only the within-duration word-position estimator, e.g. via a provider/mode that returns per-word timestamps, or offline forced alignment (e.g. Whisper word-level timestamps) run once per generated clip and cached alongside the audio.",Record a set of narration clips with known ground-truth word timings (measured externally) and assert wordIndexAtProgress-derived timing stays within an agreed tolerance (e.g. 150ms median) of ground truth — this requires the release-threshold work in Phase 6.,Large (provider/architecture change),"FIXED — spiked word-level Whisper timestamps first: verified unreliable for comma-formatted numbers (62,403 -> two words ""62""/""403"", desyncing every later index). Implemented sentence/segment-level timestamps instead (robust in both spike tests) via a new /api/tts-timing endpoint, cached in tts_cache.segments (migration applied by user). Also switched the elapsed-time source from an independent JS timer to the real <audio>.currentTime, removing a second, unrelated source of drift. Fails soft to the original whole-clip linear estimate whenever segments are absent or don't match the sentence count. Verified live: cold-miss transcribes+caches, warm-hit reads from DB instantly. Regression tests in __tests__/lib/speech-highlighter-segments.test.ts."
DEF-003,P1,architecture-lesson-model,All,All,N/A,N/A,Lesson content pipeline (all subjects/stages),N/A,All lesson-generation routes,N/A,N/A,"Read lib/ks2-lesson-zod.ts:43-71 (the canonical lesson schema). No field exists for: lessonId, contentVersion, curriculumObjectiveId, focusTargetIds, markScheme, sourceReferences, modelVersion/promptVersion (stamped on the object), teacherReviewer, or reviewStatus.","Per the target architecture in the audit brief, every published lesson should carry a stable ID, content version, link to an official curriculum objective, and a recorded approval status, so a model/prompt change cannot silently alter approved content and every claimed objective is traceable to a lesson.","CONFIRMED FROM SCHEMA INSPECTION, NOT AN OBSERVED PUPIL-FACING FAILURE: lessons are identified only by a cache-key hash (lib/ks2-lesson-cache.ts), generated fresh by an LLM call with no persisted version history, no link to an official objective code, and no representable 'approved by a teacher' state. This is an architecture gap, not a bug with a specific repro — the risk it enables (an unreviewed or regressed lesson reaching a pupil) is a structural possibility given the schema, not something I have observed happen.","lib/ks2-lesson-zod.ts:43-71; lib/ks2-lesson-cache.ts; app/api/ks2-lesson/route.ts:68-73 (model constants live in code, not stamped on output).","The lesson schema was designed around what the LLM needs to produce for one rendering pass, not around versioning/governance requirements.",lib/ks2-lesson-zod.ts; lib/ks2-lesson-cache.ts; app/api/ks2-lesson/route.ts; types/ks2-lesson.ts,"Extend the schema with lessonId, contentVersion, curriculumObjectiveId, modelVersion, promptVersion, reviewStatus ('pending'|'approved'|'rejected'), teacherReviewer, and sourceReferences; persist these alongside the generated JSON; block serving a lesson whose reviewStatus is not 'approved' once the review workflow exists.",Schema-validation test asserting the extended fields are required and that /api/ks2-lesson refuses to serve a lesson with reviewStatus != 'approved' once implemented.,"ADDITIVELY FIXED, per plan not enforced — added lessonId, contentVersion (content hash, deliberately NOT part of the cache key so it doesn't invalidate the 437-row cache), curriculumObjectiveId, modelVersion (captures the actual model that served the request, including fallback), promptVersion (new lib/ks2-lesson-version.ts, bump on prompt changes), reviewStatus (always 'unreviewed' today), teacherReviewer, sourceReferences to CachedKS2Lesson/KS2TeachingLesson. Stamped once at generation, persists through cache hits (verified live). Nothing reads or gates on reviewStatus — a review workflow that blocks serving unapproved lessons is future work, deliberately out of scope here since 0 of 437 cached lessons have ever been reviewed and enforcing it now would brick production.",DEFERRED — schema/pipeline/review-UI change is large enough to need its own planned session; not attempted this pass to avoid shipping a half-migration.
DEF-004,P2,architecture-cursor-targeting,All,All,N/A,N/A,Whiteboard cursor targeting (all lessons),N/A,All lesson-playback routes using WhiteboardTutor,N/A,N/A,"Read lib/teacher-pointer.ts:45-98 (teacherTargetIndex). The cursor target is chosen by fuzzy-matching words in the narration string against each candidate element's label/aria-label/textContent/id, only within a word-distance of 4 from the currently-'spoken' word index (which is itself the estimate from DEF-002). If no label word matches, it falls back to a linear-progress guess across all targets (lines 96-97).","Per the audit brief's preferred architecture, each narration segment should reference an authored, stable focusTargetId, so the cursor target is deterministic and always correct.","The cursor target is inferred at runtime from text similarity, not authored. A narration sentence that doesn't repeat a visible label's exact words (e.g. 'let's carry the one' pointing at a digit labelled '7') will not match within the distance-4 window and falls through to a linear-progress guess, which can point at an unrelated element.",lib/teacher-pointer.ts:45-98; confirmed absence of any focusTargetId field in lib/ks2-lesson-zod.ts (see DEF-003).,"No focusTargetId is authored anywhere in the generation prompt or schema, so the renderer has to guess post-hoc from text.",lib/teacher-pointer.ts; lib/ks2-lesson-zod.ts; the lesson-generation prompt files under lib/prompts/,"Add a focusTargetId field to each teaching step/narration segment in the schema and generation prompt; have the renderer resolve it directly instead of fuzzy word-matching, falling back to the current heuristic only when a segment has no target authored.","Unit test: for a narration segment with an authored focusTargetId, assert the resolved DOM target matches that ID regardless of word overlap with its label.",Medium,DEFERRED — not attempted this pass (bundled with DEF-003's schema work; authoring focusTargetId needs the versioning fields to attach to).
DEF-005,P2,curriculum-coverage,GCSE,Year 10-11,"AQA, Edexcel, OCR, WJEC (Eduqas/CCEA absent for maths)",N/A,All GCSE maths strands,N/A,lib/curriculum/maths/index.ts; lib/syllabus.ts,N/A,N/A,"Read lib/curriculum/stages.ts:21-25 (GCSE_BOARDS.maths = ['AQA','Edexcel','OCR','WJEC']) and lib/syllabus.ts (421 lines, hand-authored topic/subtopic names for AQA 8300 / Edexcel 1MA1 / OCR J560 only). Repo-wide search for 'Eduqas' or 'CCEA' inside lib/curriculum/** and lib/syllabus.ts returns zero maths matches.","The audit brief requires checking coverage for AQA, Pearson Edexcel, OCR, Eduqas/WJEC, and CCEA for GCSE maths, without assuming identical content across boards.","Eduqas and CCEA GCSE maths are not represented in the codebase at all — not missing lessons, but a fully absent board definition. WJEC exists as a board ID but its topic list is not distinguished from the fact that lib/syllabus.ts only actually authors AQA/Edexcel/OCR (WJEC's inclusion in the board list was not cross-checked against a distinct topic set in this pass — Not tested further).",lib/curriculum/stages.ts:21-25; lib/syllabus.ts (full file scanned for board coverage).,GCSE maths content was authored for the three largest English boards only; Eduqas (used in Wales) and CCEA (used in Northern Ireland) were never added.,lib/curriculum/stages.ts; lib/syllabus.ts; lib/curriculum/adapters/from-syllabus.ts,"Either explicitly scope the product to England-only exam boards in user-facing copy and this audit's claims, or add Eduqas/CCEA syllabus data and board wiring if UK-wide coverage is a stated goal.","Add a test asserting getBoardsFor('gcse','maths') matches the officially supported/claimed board list, so a silent scope change is caught.",Medium (data authoring) to Large (if full parity with AQA/Edexcel/OCR is required),"PARTIALLY ADDRESSED per user decision — scoped claims instead of authoring unverified curriculum content. Removed WJEC from the GCSE maths board selector (lib/curriculum/stages.ts): it had zero backing content in lib/syllabus.ts, so selecting it produced ungrounded AI claims about a specification this product doesn't model. Eduqas/CCEA remain absent, now consistent with what's actually offered rather than contradicted by it. Regression test added in __tests__/lib/curriculum.test.ts asserting exposed boards always have real content."
DEF-006,P2,observability,All,All,N/A,N/A,Whole platform,N/A,N/A,N/A,N/A,"Grepped package.json and the full app/lib tree for Sentry, PostHog, Datadog, LogRocket, and @vercel/analytics — zero matches. Only console.log/warn/error calls and one DB table (ai_usage_log, supabase-schema.sql:50) provide any operational visibility.","Per Phase 11 of the audit brief, production should have structured logs, error tracking, performance monitoring, and dashboards/alerts for regressions.","No error-tracking or APM tool is wired into the codebase at all. A production failure (a malformed AI response, a whiteboard render crash, a payment webhook failure) would only be visible in raw console output or Vercel's default logs, with no aggregation, alerting, or dashboarding.","package.json (dependencies list, no APM/error-tracking package present); repo-wide grep for the tool names above.",No observability tooling was ever added to the project.,package.json; would require new instrumentation across app/api/**,"Add an error-tracking SDK (e.g. Sentry) at minimum for the API routes and the whiteboard/cursor client code, plus structured logging with trace IDs across the AI/TTS/whiteboard call chain as the audit brief requests.","N/A (infrastructure addition, not a bug fix with a specific repro).",Medium,"FIXED (DSN-optional) — added @sentry/nextjs with sendDefaultPii:false and beforeSend scrubbing (drops request body/cookies/headers) per MATHRIX_SECURITY_PRIVACY_REPORT.md's no-pupil-data-logging rule. instrumentation.ts/instrumentation-client.ts + sentry.server/edge.config.ts wire client, server, and edge (proxy.ts) runtimes. No withSentryConfig build-time wrapping (skipped deliberately — Next.js 16.1.6 is very new and that integration does more, riskier build-time work; this is enough for runtime error visibility). Manually wired into proxy.ts and app/api/ks2-lesson/route.ts's existing catch blocks (the two highest-value spots touched this pass); other routes' catch blocks are not yet instrumented. Verified: npm run build succeeds, dev server boots and serves normally, with no SENTRY_DSN set (confirmed no-op, per Sentry's own SDK behaviour) — no account was available to verify an actual captured event end-to-end. DEFERRED remaining work: needs a Sentry (or equivalent) account/DSN not available in this session."
DEF-007,P3,repo-hygiene,All,All,N/A,N/A,N/A,N/A,N/A,N/A,N/A,last-dev.log is committed at the repository root and contains a local developer's LAN IP address from a `next dev` session.,Development artifacts and any incidental local-network information should not be committed to version control.,A minor information disclosure (a developer's local IP at time of commit) is present in git history.,last-dev.log (full file content read).,A local dev-server log was accidentally git-added instead of being gitignored.,last-dev.log; .gitignore,"Delete last-dev.log from the repo and add `*.log` to .gitignore (currently absent from the ignore list, per .gitignore inspection).",N/A,Trivial,FIXED — last-dev.log untracked via git rm --cached; *.log added to .gitignore.
DEF-008,P0,math-accuracy,KS2,"Year 5, Year 6",N/A,N/A,"Addition & Subtraction -- ""Column subtraction/addition of numbers with more than 4 digits"" (Y5), ""Add and subtract integers"" (Y6)",cache_key v19|y5m-add-subtract|curriculum|secure|lesson|column subtraction of numbers with more than 4 digits; v19|y5m-add-subtract|...|guided|...; v19|y6m-add-subtract|curriculum|secure|guided|add and subtract integers,"/api/ks2-lesson (POST), served into /ks2/topic/y5m-add-subtract and /ks2/topic/y6m-add-subtract","N/A (server-side logic bug, reproduced via direct API call)",N/A,"1. POST http://localhost:3000/api/ks2-lesson with topicId=y5m-add-subtract, skill=""Column subtraction of numbers with more than 4 digits"", kind=lesson (or guided), force=true. 2. Read response.lesson.workedExample: question=""$62,403 - 27,568$"", answer=""376"", steps=[""Set up the columns: Write 403 on top and 27 underneath to subtract."", ...], whiteboard.blocks contains a column_method block with rows [""403"",""-27"",""376""]. 3. Independently confirmed root cause: `npx tsx -e ""import {buildMethodForQuestion} from './lib/methods'; console.log(buildMethodForQuestion('$62,403 - 27,568$'))""` returns builderId=column_subtraction, answer=376 -- byte-identical to the API's output, proving the deterministic builder (not the LLM) authored the wrong answer/steps/whiteboard. 4. Confirmed this happens at serve time, not just at original generation: app/api/ks2-lesson/route.ts:555-559 (inside hardenWorkedExample, called on every cache read at line 848-850) unconditionally overwrites lesson.workedExample.answer with deterministicMathsAnswer(question).answer whenever it disagrees with the model's own answer, treating the deterministic builder as ground truth. 5. Root cause of the builder's wrong answer: lib/methods/normalize-math-text.ts normalizeMathText() never strips thousands-comma separators; lib/methods/column-addition.ts parseSubtractionOperands()/parseAdditionOperands() use regex /(\d{1,6})\s*-\s*(\d{1,6})/ which only matches contiguous digit runs, so on ""62,403 - 27,568"" it matches the digit run immediately before "" - "" (""403"") and the digit run immediately after (""27""), silently computing 403-27=376 instead of 62403-27568. The same unguarded \d{1,6} pattern (with no comma-stripping) exists in parseMultiplicationOperands (lib/methods/column-multiplication.ts:485-497) and the division operand parser (lib/methods/long-division.ts:224), so any comma-formatted operand >=1,000 in those question types is equally at risk, though not separately reproduced here. 6. Quantified against the live cache (437-row ks2_lesson_cache table, question/answer TEXT fields only -- no pupil data queried): of 30 cached questions matching a pure ""A + B"" / ""A - B"" pattern with at least one operand >=1,000, 4 have a stored answer that disagrees with the correct comma-aware arithmetic -- and all 4 are specifically the workedExample field (the main taught example) on the y5m-add-subtract and y6m-add-subtract lessons; every sibling tryThis/guidedPractice/independentPractice/quickCheck question on the SAME lessons, for the SAME skill, is correct. This confirms the defect is isolated to the workedExample-specific override path (route.ts:555-559), not the general answer pipeline (lib/ks2-maths-accuracy.ts's hardenKS2MathsPracticeAnswers, which already correctly excludes workedExample from its own scope and handles the other fields correctly via a different, unaffected code path).","The worked example teaching a Year 5/6 pupil column subtraction/addition of 5-digit numbers shows the real question's numbers, correct step-by-step working, a whiteboard matching those numbers, and the correct final answer (e.g. 62,403 - 27,568 = 34,835).","The worked example's steps, whiteboard column-method block, and final answer all silently solve a different, much simpler problem (403-27=376) than the question actually displayed above them (62,403-27,568), with no error, warning, or validation failure surfaced anywhere in the API response. This is the exact defect pattern the audit brief calls out by name: ""narration to mention content absent from the board"" / an architecture where a component's output is disconnected from the authored question. It is currently live in the cache serving real requests (confirmed via a direct, uncached force=true regeneration producing the identical wrong 376 answer, not a stale one-off).","app/api/ks2-lesson/route.ts:548-559 (hardenWorkedExample override) and :848-850 (applied on cache read); lib/methods/normalize-math-text.ts (full file -- no comma-stripping anywhere); lib/methods/column-addition.ts:240-249 (parseSubtractionOperands regex); lib/methods/column-multiplication.ts:485-497 and lib/methods/long-division.ts:224 (same unguarded pattern, not separately reproduced); raw API response captured via curl (POST /api/ks2-lesson, topicId=y5m-add-subtract, kind=lesson) showing question/steps/whiteboard/answer mismatch; direct call to buildMethodForQuestion() reproducing the identical 376 answer outside the API, isolating the bug to the deterministic builder; live cache sweep (ks2_lesson_cache, 437 rows, question/answer text only) quantifying 4-of-30 pure-calculation comma-formatted questions wrong, all 4 in the workedExample field specifically.","normalizeMathText() (shared by every operand parser in lib/methods/) does not strip thousands-comma separators before regex matching; the \d{1,6} operand-matching regexes therefore only see contiguous digit runs and silently truncate any comma-grouped number, producing a confidently wrong but well-formed answer with no exception thrown. app/api/ks2-lesson/route.ts then trusts this deterministic result unconditionally as ""single source of truth"" (its own comment, line 549-551) and overwrites the LLM's answer -- which in the observed case (tryThis: 73,205-38,467=34,738, correct) was right -- with the parser's wrong one, specifically for the workedExample field.",lib/methods/normalize-math-text.ts; lib/methods/column-addition.ts; lib/methods/column-multiplication.ts; lib/methods/long-division.ts; app/api/ks2-lesson/route.ts (hardenWorkedExample),"Add comma-stripping to normalizeMathText() (e.g. strip a comma between two digits when followed by exactly 3 more digits: /(\d),(?=\d{3}\b)/g -> ''), which is the single shared entry point for every operand parser in lib/methods/ -- this fixes column addition, subtraction, multiplication, and division parsing in one place. No data migration or cache purge is needed: hardenWorkedExample() re-derives the answer on every serve (route.ts:848-850), so the fix self-heals all 437 cached rows the next time each is read. After deploying the fix, re-run the cache sweep to confirm 0-of-N wrong, and specifically re-check the 4 identified rows (cache_key values in steps_to_reproduce).","Unit test: parseSubtractionOperands('$62,403 - 27,568$') must return {a:62403,b:27568} (and equivalent tests for +, x, and division parsers with comma-formatted operands >=1,000). Add an integration test asserting POST /api/ks2-lesson for y5m-add-subtract and y6m-add-subtract returns a workedExample.answer matching independently-computed arithmetic on the stated question, for both kind=lesson and kind=guided.",Small (single shared-function fix + cache self-heals) -- Small to Medium if the multiplication/division parsers need separate confirmation and tests,"FIXED — normalizeMathText() now strips thousands-comma separators; verified against live cache (4/4 previously-wrong rows self-healed with no purge) and a fresh forced regeneration. Regression tests added in __tests__/lib/normalize-math-text.test.ts. Note: root-cause line corrected during the fix — the actual override is lib/methods/apply-builder.ts:437-441 (applyBuiltToExample), not app/api/ks2-lesson/route.ts:555-559 as originally reported; that second check is a redundant no-op for column ops."
DEF-009,P2,test-coverage,KS2,All,N/A,N/A,Offline lesson-validation harness (scripts/validate-ks2-lessons.ts),N/A,npm run validate:ks2-lessons,N/A,N/A,"Read scripts/validate-ks2-lessons.ts:33-58 (sampleQuestion()). For any skill not explicitly special-cased (fraction simplify/compare, rounding), the function falls through to `return tax.skill;` -- i.e. it feeds the SKILL'S OWN NAME in as the ""question"" (e.g. the literal string ""Scale factors and scale drawings""), not a real question with real numbers. Run `npm run validate:ks2-lessons`: 377/378 pass, 1 fails (y6m-ratio / ""Scale factors and scale drawings"", code mixed_skill) precisely because that skill's non-question fallback text happens to route to a mismatched builder in buildMethodForQuestion; every other skill's fallback text happened not to trigger a mismatch, not because the underlying builder correctly handles real questions for that skill.","An offline lesson-quality gate that samples questions representative of what the live system actually generates for each skill, so a 'passed' result is evidence the skill works.","The harness never constructs a comma-formatted 5-digit number for the Y5/Y6 ""more than 4 digits"" column addition/subtraction skills (sampleQuestion() has no special case for them, so it falls through to the skill-name text), so it could not have caught DEF-008 even though it ran the exact same buildMethodForQuestion() code path that produced the wrong answer. ""377/378 passed"" should not be cited as coverage evidence for arithmetic correctness on realistic question text -- it is evidence the builder-selection step usually doesn't crash on a skill-name string, which is a much weaker claim.","scripts/validate-ks2-lessons.ts:33-58; npm run validate:ks2-lessons output (377 passed, 1 failed); scripts/output/ks2-validate-log.json.","sampleQuestion() was written with special cases for a few skills and a same-as-skill-name fallback for the rest, rather than a real sample question per skill.",scripts/validate-ks2-lessons.ts,"Add a realistic sample question (including comma-formatted large numbers where the skill calls for them) for every KS2 maths skill, not just the currently special-cased ones; assert the fallback path is never hit for subjectId==='maths' (fail the script loudly if sampleQuestion() falls through to tax.skill for a maths skill).",Assert sampleQuestion(tax) !== tax.skill for every maths skill returned by listAllKS2Topics().,Small to Medium (authoring ~1 sample question per uncovered skill),"PARTIALLY FIXED — added real sample questions for the two skills directly implicated in DEF-008; the harness now console.warns (visible, not silent) for every other maths skill still using the skill-name fallback, naming 26 specific skills. Not exhaustively authored — see DEF-005-style risk of inventing untested pedagogical content at scale."
DEF-010,P1,reliability-failsafe,All,All,N/A,N/A,Whole platform -- every route,N/A,All routes (proxy/middleware runs on every request),"N/A (server-side, reproduced via curl)",N/A,"1. Remove/omit NEXT_PUBLIC_SUPABASE_URL and NEXT_PUBLIC_SUPABASE_ANON_KEY (or point them at an unreachable/misconfigured project). 2. Run `npm run dev`. 3. `curl http://localhost:3000/` (the public homepage, no auth required). Observed: HTTP 500, server log 'Error: Your project's URL and Key are required to create a Supabase client!' thrown from proxy.ts:7 inside createServerClient(). 4. Restored valid Supabase credentials and re-ran the identical request: HTTP 200. Before/after reproduced in this session.","Per the audit brief's own Phase 11 requirement: ""the system should fail safely... a pupil should never receive... an unexplained technical error."" A Supabase outage or misconfiguration should degrade gracefully for at least fully public, unauthenticated routes (e.g. the marketing homepage, /terms, /privacy) rather than take down the entire site.","Every single route, including fully public/static pages with no auth requirement, returns HTTP 500 when Supabase is unreachable or misconfigured, because the global middleware calls createServerClient() unconditionally before any route-specific logic runs.",proxy.ts:5-10 (full function read); reproduced HTTP 500 -> 200 before/after in this session (dev server log captured).,The Supabase server client is constructed at the top of global middleware with no try/catch and no distinction between routes that need a session and routes that don't.,proxy.ts,"Wrap the createServerClient() call in middleware in a try/catch; on failure, allow public/static routes to continue rendering without a session (treat as logged-out) and only hard-fail routes that actually require auth or DB access.","Integration test: with Supabase env vars unset/invalid, assert GET / and GET /privacy still return 200, while an authenticated-only route still fails safely (redirect to login, not 500).",Small,"FIXED — proxy.ts wraps the Supabase client/session call in try/catch, continuing logged-out on failure. Verified: public routes return 200 with Supabase entirely unconfigured (previously 500). Regression test added in __tests__/lib/proxy.test.ts."
